,Entity_SubjectType_ClassificationCode,NameAlias_WholeName,Address_City,Address_CountryDescription,Address_Street
447,enterprise,Μέγα Ισλαμικό Μέτωπο των Πολεμιστών της Ανατολής,,,
448,enterprise,Suur Islami Idavõitlejate Rinne,,,
449,enterprise,Front der islamischen Kämpfer des Großen Ostens,,,
450,enterprise,Fronta islámských bojovníků Velkého východu,,,
451,enterprise,Frente de Guerreros del Gran Oriente Islámico,,,
452,enterprise,Фронт на великите ислямски източни воини,,,
453,enterprise,Hamas,,,
454,enterprise,Hamas-Izz al-Din al-Qassem,,,
455,enterprise,Kurdistan Workers' Party,,,
456,enterprise,PKK,,,
457,enterprise,Parti des travailleurs du Kurdistan,,,
458,enterprise,Partido de los Trabajadores del Kurdistán,,,
459,enterprise,Εργατικό Κόµµα του Κουρδιστάν,,,
460,enterprise,Partido dos Trabalhadores do Curdistão,,,
461,enterprise,Kurdistanin työväenpuolue,,,
462,enterprise,Det Kurdiske Arbejderparti,,,
463,enterprise,Kurdische Arbeiterpartei,,,
464,enterprise,Koerdische Arbeiderspartij,,,
465,enterprise,Partito dei lavoratori del Kurdistan,,,
466,enterprise,KONGRA-GEL,,,
467,enterprise,Kurdská strana pracujících,,,
468,enterprise,Kurdistani Töölispartei,,,
469,enterprise,Kurd Munkáspárt,,,
470,enterprise,Kurdistano darbininkų partija,,,
471,enterprise,Partia Pracujących Kurdystanu,,,
472,enterprise,Strana kurdských pracujúcich,,,
473,enterprise,Delavska stranka Kurdistana,,,
474,enterprise,Kurdistan Workers Party,,,
475,enterprise,Кюрдска работническа партия,,,
476,enterprise,Partidul Muncitoresc din Kurdistan,,,
477,enterprise,Il-Partit tal-Ħaddiema tal-Kurdistan,,,
478,enterprise,KADEK,,,
479,enterprise,Páirtí Oibrithe na Cordastáine,,,
480,enterprise,Kurdistanska radnička stranka,,,
481,enterprise,NPA,,,
482,enterprise,New People's Army,,,
483,enterprise,Communist Party of the Philippines,,,
484,enterprise,Nya folkarmén,,,
485,enterprise,Filippinernas kommunistparti,,,
486,enterprise,Uusi kansanarmeija,,,
487,enterprise,Filippiinien kommunistinen puolue,,,
488,enterprise,Nova ljudska vojska,,,
489,enterprise,Komunistična stranka Filipinov,,,
490,enterprise,Novej ľudovej armády,,,
491,enterprise,Komunistická strana Filipín,,,
492,enterprise,Noua Armată Populară,,,
493,enterprise,Partidul Comunist din Filipine,,,
494,enterprise,Novo Exército Popular (NEP),,,
495,enterprise,Partido Comunista das Filipinas,,,
496,enterprise,Nowa Armia Ludowa,,,
497,enterprise,Komunistyczna Partia Filipin,,,
498,enterprise,l-Armata l-Ġdida tal-Poplu,,,
499,enterprise,Il-Partit Komunista tal-Filippini,,,
500,enterprise,Fülöp-szigeteki Kommunista Párt,,,
501,enterprise,Új Néphadsereg,,,
502,enterprise,Naująją liaudies armiją,,,
503,enterprise,Filipinų komunistų partija,,,
504,enterprise,Nuovo esercito popolare,,,
505,enterprise,Partito comunista delle Filippine,,,
506,enterprise,Nova narodna vojska,,,
507,enterprise,Komunistička partija Filipina,,,
508,enterprise,Arm Nua an Phobail - APN,,,
509,enterprise,Páirtí Cumannach na nOileán Filipíneach,,,
510,enterprise,Nouvelle armée du peuple,,,
511,enterprise,Parti communiste des Philippines,,,
512,enterprise,Νέος Λαϊκός Στρατός,,,
513,enterprise,Κομμουνιστικό Κόμμα Φιλιππίνων,,,
514,enterprise,Uus Rahvaarmee,,,
515,enterprise,Filipiinide Kommunistlik Partei,,,
516,enterprise,Neue Volksarmee,,,
517,enterprise,Kommunistische Partei der Philippinen,,,
518,enterprise,Det Filippinske Kommunistparti,,,
519,enterprise,Nové lidové armády,,,
520,enterprise,Komunistická strana Filipín,,,
521,enterprise,Nuevo Ejército del Pueblo,,,
522,enterprise,Partido Comunista de las Filipinas,,,
523,enterprise,Нова народна армия,,,
524,enterprise,Комунистическа партия на Филипините,,,
525,enterprise,Palestinian Islamic Jihad,,,
526,enterprise,PIJ,,,
527,enterprise,Jihad islamique palestinien,,,
528,enterprise,Yihad islámica para la liberación de Palestina,,,
529,enterprise,Παλαιστινιακή Ισλαµική Τζιχάντ,,,
530,enterprise,Jihad Islâmica Palestiniana,,,
531,enterprise,Palästinensischer Islamischer Dschihad,,,
532,enterprise,Palestiinan islamilainen jihad,,,
533,enterprise,Palæstinensisk Islamisk Jihad,,,
534,enterprise,Palestina Islamic Jihad,,,
535,enterprise,Jihad islamica palestinese,,,
536,enterprise,Palestinský islámský džihád,,,
537,enterprise,Palestiina Islami Džihaad,,,
538,enterprise,Palesztin Iszlám Dzsihád,,,
539,enterprise,Palestīniešu Islāma Jihad,,,
540,enterprise,Palestinos islamo džihadas,,,
541,enterprise,Palestyński Islamski Dżihad,,,
542,enterprise,Palestínsky islamský džihád,,,
543,enterprise,Palestinski islamski džihad,,,
544,enterprise,Palestinska islamiska Jihad,,,
545,enterprise,Палестински ислямски джихад,,,
546,enterprise,Jihadul Islamic Palestinian,,,
547,enterprise,JIP,,,
548,enterprise,Il-Ġiħad Iżlamika tal-Palestina,,,
549,enterprise,Palestinski islamski džihad,,,
550,enterprise,Jiohád Ioslamach na Palaistíne,,,
551,enterprise,Popular Front for the Liberation of Palestine,,,
552,enterprise,PFLP,,,
553,enterprise,Front populaire de libération de la Palestine,,,
554,enterprise,FPLP,,,
555,enterprise,Frente Popular de Liberación de Palestina,,,
556,enterprise,FPLP,,,
557,enterprise,Λαϊκό Μέτωπο για την Απελευθέρωση της Παλαιστίνης,,,
558,enterprise,Frente Popular de Libertação da Palestina,,,
559,enterprise,Palestiinan vapautuksen kansanrintama,,,
560,enterprise,Folkefronten til Palæstinas Befrielse,,,
561,enterprise,Volksfront für die Befreiung Palästinas,,,
562,enterprise,Volksfront voor de bevrijding van Palestina,,,
563,enterprise,Fronte popolare di liberazione della Palestina,,,
564,enterprise,Lidová fronta za osvobození Palestiny,,,
565,enterprise,Palestiina Vabastamise Rahvarinne,,,
566,enterprise,Népi Front Palesztina Felszabadításért,,,
567,enterprise,Palestīnas atbrīvošanas Tautas Fronte,,,
568,enterprise,Palestinos išlaisvinimo liaudies frontas,,,
569,enterprise,PILF,,,
570,enterprise,Ludowy Front Wyzwolenia Palestyny,,,
571,enterprise,Ľudový front za oslobodenie Palestíny,,,
572,enterprise,Ljudska fronta za osvoboditev Palestine,,,
573,enterprise,PATF,,,
574,enterprise,FPLP,,,
575,enterprise,Народен Фронт за освобождение на Палестина,,,
576,enterprise,Frontul Popular pentru Eliberarea Palestinei,,,
577,enterprise,FPEP,,,
578,enterprise,Il-Front Popolari għal-Liberazzjoni tal-Palestina,,,
579,enterprise,Folkfronten för Palestinas befrielse,,,
580,enterprise,Narodna fronta za oslobođenje Palestine,,,
581,enterprise,Fronta Pobail i gcomhair Shaoirse na Palaistíne,,,
582,enterprise,Popular Front for the Liberation of Palestine — General Command,,,
583,enterprise,PFLP — General Command,,,
584,enterprise,Front populaire de libération de la Palestine — Commandement général,,,
585,enterprise,FPLP — Commandement général,,,
586,enterprise,Frente Popular de Liberación de Palestina — «Comando General»,,,
587,enterprise,FPLP — Comando General,,,
588,enterprise,FPLP-CG,,,
589,enterprise,Λαϊκό Μέτωπο για την Απελευθέρωση της Παλαιστίνης — Γενική ∆ιοίκηση,,,
590,enterprise,Frente Popular de Libertação da Palestina — Comando Geral,,,
591,enterprise,FPLP — Comando Geral,,,
592,enterprise,Folkefronten til Palæstinas Befrielse-Generalkommandoen,,,
593,enterprise,Generalkommando der Volksfront für die Befreiung Palästinas,,,
594,enterprise,Volksfront voor de bevrijding van Palestina-Algemeen Commando,,,
595,enterprise,Fronte popolare di liberazione della Palestina — Comando generale,,,
596,enterprise,Comando generale del PFLP,,,
597,enterprise,Vrchní velitelství Lidové fronty za osvobození Palestiny,,,
598,enterprise,Népi Front Palesztina Felszabadításért – Főparancsnokság,,,
599,enterprise,Palestīnas atbrīvošanas Tautas Fronte – virsvadība,,,
600,enterprise,PFLP – virsvadība,,,
601,enterprise,Palestinos išlaisvinimo žmonių fronto Aukščiausioji vadovybė,,,
602,enterprise,PILF Aukščiausioji vadovybė,,,
603,enterprise,Ludowy Front Wyzwolenia Palestyny – Naczelne Dowództwo,,,
604,enterprise,Ľudový front za oslobodenie Palestíny – hlavné veliteľstvo,,,
605,enterprise,PFLP-Hlavné veliteľstvo,,,
606,enterprise,Ljudska fronta za osvoboditev Palestine – glavno poveljstvo,,,
607,enterprise,PFLP – glavno poveljstvo,,,
608,enterprise,Народен Фронт за освобождение на Палестина – Общо командване,,,
609,enterprise,Frontul Popular pentru Eliberarea Palestinei – Comandamentul General,,,
610,enterprise,FPEP – Comandamentul General,,,
611,enterprise,Il-Front Popolari għal-Liberazzjoni tal-Palestina – Kmand Ġenerali,,,
612,enterprise,PFLP – Kmand Ġenerali,,,
