,Entity_SubjectType_ClassificationCode,NameAlias_WholeName,Address_City,Address_CountryDescription,Address_Street
379,enterprise,al-Aqsa-martyrernas brigader,,,
380,enterprise,Al-Aqsan marttyyrien prikaati,,,
381,enterprise,Brigada mučenikov Al Akse,,,
382,enterprise,Brigáda mučeníkov Al-Aksá,,,
383,enterprise,Brigada Martirilor Al-Aqsa,,,
384,enterprise,Brigada dos Mártires de Al-Aqsa,,,
385,enterprise,Brygady Męczenników Al-Aksy,,,
386,enterprise,Al-Aqsa Martelarenbrigade,,,
387,enterprise,Il-Brigata tal-Martri ta' Al-Aqsa,,,
388,enterprise,Al-Aqsa Mártírjainak Brigádja,,,
389,enterprise,Al-Aqsa kankinių brigade,,,
390,enterprise,Brigata dei martiri di Al-Aqsa,,,
391,enterprise,Brigada mučenika Al-Aqse,,,
392,enterprise,Briogáid Máirtíreach Al-Aqsa,,,
393,enterprise,Brigade des martyrs d’Al-Aqsa,,,
394,enterprise,Ταξιαρχία Μαρτύρων του Al-Aqsa,,,
395,enterprise,Al-Aqsa Märtrite Brigaad,,,
396,enterprise,Al-Aqsa-Märtyrerbrigade,,,
397,enterprise,Brigáda mučedníků al-Aksá,,,
398,enterprise,Brigada de los Mártires de Al‐Aqsa,,,
399,enterprise,Бригади на мъчениците от Ал-Акса,,,
400,enterprise,Babbar Khalsa,,,
401,enterprise,Babbar Chalsa,,,
402,enterprise,Μπάμπαρ Χαλσά,,,
403,enterprise,Babbar Jalsa,,,
404,enterprise,Бабар Калса,,,
405,enterprise,Gama'a al-Islamiyya,,,
406,enterprise,Islamic Group - IG,,,
407,enterprise,Al-Gama'a al-Islamiyya,,,
408,enterprise,IG,,,
409,enterprise,Islamiska gruppen,,,
410,enterprise,Islamistična skupina,,,
411,enterprise,Islamská skupina,,,
412,enterprise,Grupul Islamic,,,
413,enterprise,Grupo Islâmico,,,
414,enterprise,Grupa Islamska,,,
415,enterprise,Islamitische Groep,,,
416,enterprise,il-Grupp Iżlamiku,,,
417,enterprise,Iszlám Csoport,,,
418,enterprise,Islamo grupuotė,,,
419,enterprise,Islamska skupina,,,
420,enterprise,Grúpa Ioslamach,,,
421,enterprise,Groupe islamique,,,
422,enterprise,Ισλαμική Ομάδα,,,
423,enterprise,Islamirühmitus,,,
424,enterprise,Islamische Gruppe,,,
425,enterprise,Islamisk Gruppe,,,
426,enterprise,Islámská skupina,,,
